Protein Unique ID,Module Assignment (Number),Module Assigment (Color),kME Dark Orange,kME Dark Turquoise,kME Brown,kME Red,kME Turquoise,kME Light Green,kME White,kME Black,kME Green Yellow,kME Cyan,kME Salmon,kME Dark Red,kME Pink,kME Tan,kME Magenta,kME Light Cyan,kME Royal Blue,kME Midnight Blue,kME Purple,kME Light Yellow,kME Grey60,kME Blue,kME Yellow,kME Dark Green,kME Dark Grey,kME Green,kME Orange,kME Grey,kME Table Sort Vector
GNAZ|NP_002064.1,M27,white,-0.047818911,-0.015874595,-0.225340211,-0.159342507,0.10776517,0.439886668,0.643377832,0.565653817,0.692419772,0.438374201,-0.342557303,0.240823678,-0.294381563,-0.139308489,0.288455796,0.209564455,0.496744093,0.005258583,-0.050045288,-0.010194625,-0.011103901,-0.361020163,-0.110595508,0.174966459,-0.436255732,0.156458474,0.199448256,0.102222219,white|0.6434
ATP1B1|NP_001668.1,M27,white,-0.102528074,-0.081676098,-0.082876382,-0.326728345,-0.220341107,-0.087906766,0.618583776,0.478240593,0.286525432,0.266811529,-0.540355132,0.246100396,-0.199441917,-0.046636426,0.231320924,0.090646376,0.224003475,-0.241231902,-0.123487172,0.275062853,0.003822006,-0.191042031,0.092029528,0.204044331,-0.09131035,0.485015342,0.359489366,-0.318935145,white|0.6186
SYNPR|NP_001123475.1,M27,white,-0.185122673,-0.020378499,-0.178289868,-0.175657118,-0.193531358,-0.10060399,0.616519443,0.316989049,0.329267387,0.376148732,-0.240487113,0.13907666,-0.086620859,0.102446868,0.25697008,0.286790691,0.317738214,0.041513479,0.139150642,-0.049996082,0.258853187,-0.125733589,0.009707162,0.232982259,-0.077663924,0.209125101,0.312885222,-0.111848717,white|0.6165
GJA1|NP_000156.1,M27,white,0.404245855,-0.322014446,-0.337419686,0.041725095,-0.223788146,0.096966712,0.593551992,0.125267394,0.147470062,0.067732741,-0.080877959,0.065768008,-0.032110942,0.052477645,0.023783342,0.514150356,0.321042972,0.019568546,-0.211989354,0.436851067,0.375807511,0.218585294,0.15655103,-0.135925762,-0.186906581,0.301228894,0.391720215,-0.259024593,white|0.5936
ERO1L|NP_055399.1,M27,white,0.590667659,0.379995865,-0.206571171,0.205491911,-0.026561782,0.28935134,0.56965273,0.278527334,0.373112881,0.519574835,0.247841913,-0.047309073,0.115338109,0.388043737,0.035665658,0.613190257,0.513386341,-0.120545072,-0.036514431,0.127322019,0.28541065,-0.012913882,-0.166514217,-0.331176401,-0.07145112,-0.027194849,-0.35682915,-0.396569791,white|0.5697
ATAD3C|NP_001034300.2,M27,white,0.196584577,0.212755064,-0.190698489,0.290287609,-0.000907201,0.246940228,0.497905965,0.235873438,0.330389973,0.265544256,0.349613527,-0.110245301,-0.007930221,0.143329039,0.02994464,0.53833651,0.350931896,0.066091464,0.018189156,0.131700828,0.379508799,-0.024453007,-0.126050686,-0.143833383,-0.217457535,-0.213990643,-0.079874602,-0.204613438,white|0.4979
RPL23|NP_000969.1,M27,white,0.2154427,0.20372531,-0.161407457,0.125012292,0.126086093,0.271683312,0.475999167,0.312527692,0.496905122,0.523771067,0.293151375,-0.111438127,-0.051209936,0.233224112,0.220644097,0.430149545,0.528711776,-0.075790484,0.031493377,0.062170262,0.028547414,-0.200705918,-0.223852293,-0.128327401,-0.172329037,-0.188124299,-0.24814324,-0.138545436,white|0.476
GRM3|NP_000831.2,M27,white,-0.240944787,0.13387877,-0.087463359,-0.096369063,0.057728222,0.124745428,0.387550621,0.474714554,0.488393319,0.2760763,-0.164743233,0.083830103,-0.17100777,-0.093790983,0.363279425,0.13655912,0.259329687,-0.029312199,-0.09697898,-0.114030183,-0.101530342,-0.344757992,-0.00743516,0.211277875,-0.381172327,-0.149763497,0.146969611,-0.057394631,white|0.3876
MDH1|NP_001186040.1,M1,turquoise,0.058751758,0.368417607,0.654010773,0.695581179,0.964605495,0.417839326,-0.074732177,0.533426476,0.418931528,-0.177280467,0.042223556,-0.561194683,-0.568434895,-0.572161951,-0.509222006,-0.485366246,-0.506353958,-0.664432381,-0.621978388,-0.665601719,-0.788897091,-0.807305595,-0.840571008,-0.082915156,-0.1553027,-0.068685313,-0.354496567,0.032224761,turquoise|0.9646
TPI1|NP_001152759.1,M1,turquoise,-0.069837776,0.295706676,0.669240687,0.555123385,0.963656198,0.375910473,-0.139694707,0.597950099,0.434981083,-0.160574386,-0.034371477,-0.50426543,-0.642264464,-0.609387941,-0.490335999,-0.578447795,-0.539602378,-0.629700055,-0.574137272,-0.661316533,-0.858198951,-0.858845853,-0.804915791,0.027595621,-0.148383377,-0.046985194,-0.327507558,0.085767827,turquoise|0.9637
LDHB|NP_001167568.1,M1,turquoise,0.094701456,0.479478782,0.64614096,0.682055807,0.956928456,0.402328118,-0.011075123,0.643558573,0.542958547,-0.002567948,0.083820398,-0.543474227,-0.570386984,-0.465473574,-0.482852848,-0.425379964,-0.414129369,-0.631215269,-0.531355252,-0.726050333,-0.74417202,-0.845399173,-0.858539879,-0.0340011,-0.112780573,-0.119026145,-0.425292288,0.006382123,turquoise|0.9569
CUTA|NP_001014433.1,M1,turquoise,-0.023723304,0.261836167,0.59126493,0.499234105,0.952415306,0.486483238,-1.03E-05,0.686773382,0.539520963,-0.048384435,-0.089310795,-0.433842836,-0.667207676,-0.581908536,-0.461161859,-0.448538715,-0.396964586,-0.598805229,-0.556148921,-0.66202725,-0.766329113,-0.888021608,-0.840019666,0.04621114,-0.1934717,0.011925662,-0.316830997,0.123192663,turquoise|0.9524
PEBP1|NP_002558.1,M1,turquoise,0.040658439,0.354297951,0.657240321,0.634060706,0.942795468,0.411883411,-0.319360004,0.389898938,0.30832758,-0.202586337,0.098023804,-0.517659475,-0.498580275,-0.507959345,-0.571522894,-0.563228756,-0.566612036,-0.508438753,-0.481696846,-0.699520953,-0.74484501,-0.701995872,-0.781346453,-0.085353883,-0.058372294,-0.136759124,-0.427297643,0.138765377,turquoise|0.9428
PRDX6|NP_004896.1,M1,turquoise,0.008617768,0.344395187,0.560599675,0.759937432,0.937075135,0.402178516,-0.052485562,0.477385619,0.460736288,-0.170481387,0.125841131,-0.589538608,-0.495598092,-0.516465426,-0.424179049,-0.39576838,-0.439679394,-0.543603588,-0.558436228,-0.689002505,-0.665310768,-0.746153974,-0.816886268,-0.094930216,-0.177744605,-0.157097292,-0.274007825,0.030045286,turquoise|0.9371
TAGLN2|NP_003555.1,M1,turquoise,-0.054507961,0.251227932,0.740412692,0.646056074,0.9332094,0.302042617,-0.080553186,0.577008558,0.395859119,-0.125642017,0.005861322,-0.608028497,-0.597805626,-0.531889022,-0.524689377,-0.510712294,-0.554002538,-0.685000865,-0.568015746,-0.711196165,-0.785570309,-0.836941575,-0.880969121,0.096396866,0.016600665,0.00318638,-0.283875288,0.012707631,turquoise|0.9332
DDAH2|NP_039268.1,M1,turquoise,0.134352357,0.502502237,0.732416068,0.727548981,0.933010767,0.342708631,0.041478563,0.649690414,0.471629226,-0.02421549,-0.01036821,-0.593721309,-0.544420485,-0.448710902,-0.541211066,-0.456916888,-0.493600142,-0.789393109,-0.607742539,-0.717927121,-0.766565233,-0.85380252,-0.919034831,-0.067735785,0.007374621,0.048264138,-0.413397883,-0.157031525,turquoise|0.933
PRDX1|NP_001189360.1,M1,turquoise,0.119724035,0.472329438,0.652750592,0.713164364,0.931830162,0.311579727,-0.160715879,0.474788074,0.357634112,-0.210702731,0.082165904,-0.570029813,-0.444313616,-0.490647571,-0.488596454,-0.507659059,-0.548065395,-0.684817327,-0.627239617,-0.719328893,-0.801959562,-0.763896402,-0.797664515,-0.105070075,-0.08054289,-0.127335977,-0.479792046,-0.05393469,turquoise|0.9318
